"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
2,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
3,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",8,"*N/A","","","","","Q4-2017",""
4,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",12,"*N/A","","","","","Q4-2017",""
5,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",12,"*N/A","","","","","Q4-2017",""
6,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",19,"*N/A","","","","","Q4-2017",""
7,"SHIP CONSTRUCTION","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","","","Q4-2019"
8,"SHIP CONSTRUCTION","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","","","Q4-2019"
9,"SHIP CONSTRUCTION","Carlow","St. Mary's Court & Dereen Heights",6,"*N/A","","","","","Q1-2020",""
10,"SHIP CONSTRUCTION","Carlow","Crowsgrove, Kildavin",1,"*N/A","","","","","","Q1-2020"
11,"SHIP CONSTRUCTION","Carlow","Ardattin",6,"*N/A","","","","","Q1-2020",""
12,"SHIP CONSTRUCTION","Carlow","Brownbog, Hackettstown",1,"*N/A","","","","","Q1-2020",""
13,"SHIP CONSTRUCTION","Carlow","Spahill, Borris, Co. Carlow",1,"*N/A","","","","","Q1-2020",""
14,"SHIP CONSTRUCTION","Carlow","Rural Ballypierce, Kildavin",1,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
15,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
16,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
17,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","","","","Q3-2019"
18,"SHIP CONSTRUCTION","Carlow","Bagenalstown",20,"*N/A","","","","","Q2-2019",""
19,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
20,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
21,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
22,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
23,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
24,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
25,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
26,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
27,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
28,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","","Q1-2019"
29,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris, Co. carlow",9,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
30,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
31,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
32,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
33,"CAS CONSTRUCTION","Carlow","Homefield, Blackbog Road, Carlow",3,"Carlow Voluntary Housing Association","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
34,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
35,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
36,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",15,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
37,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 2)",22,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
38,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 3)",20,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
39,"CALF Turnkey","Carlow","Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,"Tintean Housing Association Ltd","","","","","","Q1-2018"
40,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
41,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,"T�ath Housing Association Ltd","","","","","","Q2-2019"
42,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2019"
43,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,"T�ath Housing Association Ltd","","","","","","Q3-2019"
44,"CALF Turnkey","Carlow","Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,"T�ath Housing Association Ltd","","","","","","Q4-2019"
45,"CALF Turnkey","Carlow","Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2018"
46,"CALF Turnkey","Carlow","Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
47,"CALF Turnkey","Carlow","Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 1)",3,"T�ath Housing Association Ltd","","","","","Q4-2019",""
48,"CALF Turnkey","Carlow","Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 2)",6,"T�ath Housing Association Ltd","","","","","Q4-2019",""
49,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 1)*",8,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
50,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 2)",8,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
51,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 3)",12,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
52,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 4)",9,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
53,"CALF Turnkey","Carlow","Rivercourt,  Carlow  (Phase 5)",10,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
54,"CALF Turnkey","Carlow","Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,"Cluid Housing","","","","","","Q1-2019"
55,"CALF Turnkey","Carlow","Tanner Hall, Athy Road, Carlow (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2007",""
56,"CALF Turnkey","Carlow","The Millrace, Burrin, Co. Carlow (Phase 1)*",22,"Co - Operative Housing Ireland Society Limited","","","","Q4-2019","",""
57,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff",3,"*N/A","","","","","","Q4-2019"
58,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff (Phase 2)",4,"*N/A","","","","","Q2-2019",""
59,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduffy (Phase 3)",3,"*N/A","","","","","Q2-2019",""
60,"SHIP CONSTRUCTION TURNKEY","Cavan","Woodlands, Killyfinla, Ballyjamesduff ",32,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
61,"SHIP CONSTRUCTION TURNKEY","Cavan","Ashgrove, Derrylurgan, Ballyjamesduff (Phase 4)",4,"*N/A","","","","","Q2-2019",""
62,"SHIP CONSTRUCTION","Cavan","Rosehill, Mullagh (Phase 6)",8,"*N/A","","","","","","Q1-2019"
63,"SHIP CONSTRUCTION","Cavan","Butlersbridge",4,"*N/A","","","","","","Q1-2018"
64,"SHIP CONSTRUCTION","Cavan","Woodlands, Ballyhaise",8,"*N/A","","","","","","Q4-2018"
65,"SHIP CONSTRUCTION","Cavan","Butlersbridge (Phase 1)",2,"*N/A","","","","","","Q2-2017"
66,"SHIP CONSTRUCTION","Cavan","Clones Road, Butlersbridge",2,"*N/A","","","","","Q1-2020",""
67,"SHIP CONSTRUCTION","Cavan","Corstruce, Ballinagh",4,"*N/A","","","","","Q1-2020",""
68,"SHIP CONSTRUCTION","Cavan","Main Street, Mullagh",19,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
69,"SHIP CONSTRUCTION","Cavan","Elm Grove, Main St, Cavan Town",13,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
70,"SHIP CONSTRUCTION","Cavan","Cavan Road, Ballinagh",15,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
71,"SHIP CONSTRUCTION","Cavan","Main St., Butlersbridge",6,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
72,"SHIP CONSTRUCTION","Cavan","Cluain Dara, Kingscourt",3,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
73,"SHIP CONSTRUCTION","Cavan","Magheranure, Cootehill, Co. Cavan",22,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
74,"SHIP CONSTRUCTION","Cavan","Fairymount Close, Kingscourt, Co. Cavan",3,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
75,"SHIP CONSTRUCTION","Cavan","St. Bridgets Terrace, Cavan Town (Infill)",12,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
76,"SHIP CONSTRUCTION","Cavan","Beckscourt, Eastboro, Bailieborough",47,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
77,"CAS CONSTRUCTION TURNKEY","Cavan","Castlemanor Village, Cavan Town",29,"T�ath Housing Association Ltd","","","","","","Q3-2019"
78,"CAS CONSTRUCTION","Cavan","St. Killian's Housing Association Ltd., Mullagh, Co. Cavan",4,"St. Killian's Housing Association, Mullagh, Co. Cavan","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
79,"CALF Turnkey","Cavan","16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,"Clanmil Housing Association Ireland","","","","","Q1-2020",""
80,"CALF Turnkey","Cavan","25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q3-2019","",""
81,"CALF Turnkey","Cavan","25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",13,"T�ath Housing Association Ltd","","","","Q3-2019","",""
82,"CALF Turnkey","Cavan","Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
83,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q2-2018"
84,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 2)",5,"T�ath Housing Association Ltd","","","","","","Q3-2018"
85,"CALF Turnkey","Cavan","Drumalee Manor, Drumalee, Cavan (Phase 3)",2,"T�ath Housing Association Ltd","","","","","","Q4-2018"
86,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 1)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
87,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 2)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
88,"CALF Turnkey","Cavan","Rampart View, Virginia, Co. Cavan (Phase 3)",11,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2019",""
89,"CALF Turnkey","Cavan","The Gallops, Cavan Town, Co. Cavan (Phase 1)",12,"Cluid Housing","","","","","Q4-2019",""
90,"CALF Turnkey","Cavan","The Gallops, Cavan Town, Co. Cavan (Phase 2)",10,"Cluid Housing","","","","","Q4-2019",""
91,"CALF Turnkey","Cavan","The Gallops, Cavan Town, Co. Cavan (Phase 3)*",12,"Cluid Housing","","","","","Q4-2019",""
92,"SHIP CONSTRUCTION TURNKEY","Clare","River View, School Road, Corofin",2,"*N/A","","","","","","Q4-2018"
93,"SHIP CONSTRUCTION TURNKEY","Clare","Cloughleigh Road + Shallee Drive",4,"*N/A","","","","","Q2-2020",""
94,"SHIP CONSTRUCTION TURNKEY","Clare","Shantraud Woods, Killaloe",4,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
95,"SHIP CONSTRUCTION","Clare","Cappagh Lodge, Sixmilebridge",2,"*N/A","","","","","Q1-2020",""
96,"SHIP CONSTRUCTION","Clare","St. Michaels Place, Kilmihil",2,"*N/A","","","","","Q1-2020",""
97,"SHIP CONSTRUCTION","Clare","Madden's Terrace, Clarecastle",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
98,"SHIP CONSTRUCTION","Clare","Roslevan, Ennis",8,"*N/A","","","","","","Q2-2020"
99,"SHIP CONSTRUCTION","Clare","Feakle",13,"*N/A","","","","","","Q4-2019"
100,"SHIP CONSTRUCTION","Clare","Glor Srutha, Knockbrack Lower, Clonlara",9,"*N/A","","","","","","Q4-2019"
101,"SHIP CONSTRUCTION","Clare","Seaview Park, Quilty",18,"*N/A","","","","","Q2-2019",""
102,"SHIP CONSTRUCTION","Clare","Ashline, Kilrush Road, Ennis",40,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
103,"SHIP CONSTRUCTION","Clare","Miltown Malbay",27,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
104,"SHIP CONSTRUCTION","Clare","Doonaun, Tulla",25,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
105,"SHIP CONSTRUCTION","Clare","Boheraroan, Newmarket-on-Fergus",18,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
106,"SHIP CONSTRUCTION","Clare","Scariff",18,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
107,"SHIP CONSTRUCTION","Clare","Kilkee Road, Doonbeg",8,"*N/A","","","","","Q1-2020",""
108,"SHIP CONSTRUCTION","Clare","Tulla Road, Roslevan, Ennis",8,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
109,"SHIP CONSTRUCTION","Clare","St Senan's Terrace, Kilrush",3,"*N/A","","","","","","Q4-2019"
110,"SHIP CONSTRUCTION","Clare","Drumcliffe Road, Ennis, Co. Clare",26,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
111,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle (Phase 2)",2,"Anvers Housing Association Ltd","","","","","","Q2-2018"
112,"CAS CONSTRUCTION TURNKEY","Clare","Haggard View, Clarecastle (Phase 1)",2,"Anvers Housing Association Ltd","","","","","","Q1-2018"
113,"CAS CONSTRUCTION","Clare","Cahercalla, Ennis (Phase 2)",15,"Cuan an Chlair Ltd","","","","","Q3-2019",""
114,"CAS CONSTRUCTION","Clare","Laurel Lodge, Clare Road, Ennis",3,"Society of Saint Vincent de Paul","","","","","","Q4-2016"
115,"CAS CONSTRUCTION","Clare","Monaskeha Heights",4,"Newgrove Housing Association Ltd","","","","","","Q3-2019"
116,"CAS CONSTRUCTION","Clare","Roo East",4,"Thomond Housing Association Ltd","","","","","","Q4-2018"
117,"CAS CONSTRUCTION","Clare","9 Elmwood, Ballycannon Heights, Meelick",4,"Thomond Housing Association Ltd","","","","","","Q1-2019"
118,"CAS CONSTRUCTION","Clare","Teach Rua, Edenvale Ennis",4,"Newgrove Housing Association Ltd","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
119,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,"Cluid Housing","","","","","","Q2-2018"
120,"CALF Turnkey","Clare","Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,"Cluid Housing","","","","","","Q4-2018"
121,"CALF Turnkey","Clare","Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 1)*",2,"Cluid Housing","","","","","Q2-2019",""
122,"CALF Turnkey","Clare","Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 2)*",2,"Cluid Housing","","","","","Q2-2019",""
123,"CALF Turnkey","Clare","Cluain Fia, Crusheen, Co. Clare (Phase 1)*",2,"Cluid Housing","","","","","","Q2-2020"
124,"CALF Turnkey","Clare","Cluain Fia, Crusheen, Co. Clare (Phase 2)*",2,"Cluid Housing","","","","","Q1-2019",""
125,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
126,"CALF Turnkey","Clare","Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2019"
127,"CALF Turnkey","Clare","Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 1)*",31,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2019",""
128,"CALF Turnkey","Clare","Lios Anama, Sixmilebridge, Clare (Phase 1)",28,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2017"
129,"CALF Construction","Clare","Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,"Co - Operative Housing Ireland Society Limited","","","","Q1-2017","",""
130,"CALF Turnkey","Clare","Sycamore Drive, Ennis, Co. Clare (Phase 1)*",3,"Cluid Housing","","","","","","Q4-2019"
131,"CALF Turnkey","Clare","Sycamore Drive, Ennis, Co. Clare (Phase 2)*",2,"Cluid Housing","","","","","Q3-2018",""
132,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 1)*",31,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
133,"CALF Turnkey","Clare","Tullyvarraga, Shannon, Co. Clare (Phase 2)",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
134,"SHIP CONSTRUCTION TURNKEY","Cork City","Arus Mhuire",30,"*N/A","","","","","","Q4-2018"
135,"SHIP CONSTRUCTION TURNKEY","Cork City","Barrack Street",32,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
136,"SHIP CONSTRUCTION TURNKEY","Cork City","FaranFerris",5,"*N/A","","","","","","Q4-2019"
137,"SHIP CONSTRUCTION TURNKEY","Cork City","High Street",9,"*N/A","","","","","","Q4-2019"
138,"SHIP CONSTRUCTION TURNKEY","Cork City","Tramore Road",4,"*N/A","","","","","","Q4-2018"
139,"SHIP CONSTRUCTION TURNKEY","Cork City","Whites Street",43,"*N/A","","","","","","Q4-2019"
140,"SHIP CONSTRUCTION TURNKEY","Cork City","Woods Street",16,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
141,"SHIP CONSTRUCTION TURNKEY","Cork City","Church Road, Blackrock",43,"*N/A","","","","","","Q3-2018"
142,"SHIP CONSTRUCTION TURNKEY","Cork City","1-5, Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q3-2018"
143,"SHIP CONSTRUCTION TURNKEY","Cork City","Corcorans Quay",3,"*N/A","","","","","Q2-2018",""
144,"SHIP CONSTRUCTION TURNKEY","Cork City","Blarney Street",25,"*N/A","","","","","","Q4-2019"
145,"SHIP CONSTRUCTION TURNKEY","Cork City","Ballinure Road, Cork City",5,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
146,"SHIP CONSTRUCTION TURNKEY","Cork City","Moss Lane, Riverway, Cork",5,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
147,"SHIP CONSTRUCTION TURNKEY","Cork City","7-11 Gerald Griffin Street, Cork",13,"*N/A","","","","","Q2-2019",""
148,"SHIP CONSTRUCTION TURNKEY","Cork City","29/30 Lower John Street, Cork",17,"*N/A","","","","","Q1-2019",""
149,"SHIP CONSTRUCTION TURNKEY","Cork City","Skehard Road, Blackrock, Cork",16,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
150,"SHIP CONSTRUCTION TURNKEY","Cork City","Coach Street, Cork",12,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
151,"SHIP CONSTRUCTION TURNKEY","Cork City","Shanakiel Road, Cork",20,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
152,"SHIP CONSTRUCTION TURNKEY","Cork City","Spring Lane, Blackpool, Cork",8,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
153,"SHIP CONSTRUCTION TURNKEY","Cork City","Glen Ryan Road, Cork",9,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
154,"SHIP CONSTRUCTION TURNKEY","Cork City","Pouladuff Road, Cork ",11,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
155,"SHIP CONSTRUCTION TURNKEY","Cork City","Watercourse Road, Blackpool, Cork",37,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
156,"SHIP CONSTRUCTION TURNKEY","Cork City","1-4 Marble Lane",4,"*N/A","","","","","","Q4-2017"
157,"SHIP CONSTRUCTION TURNKEY","Cork City","Sheridan Park, Tramore Road",28,"*N/A","","","","","","Q4-2016"
158,"SHIP CONSTRUCTION TURNKEY","Cork City","37-39 Dublin Street, Blackpool, Cork",5,"*N/A","","","","","","Q2-2018"
159,"SHIP CONSTRUCTION TURNKEY","Cork City","6-10, Ard Aoibhinn, Banduff, Mayfield",5,"*N/A","","","","","","Q4-2018"
160,"SHIP CONSTRUCTION TURNKEY","Cork City","2 Deanrock Cottages, Togher",4,"*N/A","","","","","","Q4-2018"
161,"SHIP CONSTRUCTION TURNKEY","Cork City","258 & 259 Blarney Street, Cork",2,"*N/A","","","","","","Q1-2018"
162,"SHIP CONSTRUCTION TURNKEY","Cork City","1 & 2 The Groves, Skehard Road, Cork",2,"*N/A","","","","","","Q2-2018"
163,"SHIP CONSTRUCTION TURNKEY","Cork City","3B & 9B South Terrace Court, South Terrace, Cork",2,"*N/A","","","","","","Q4-2018"
164,"SHIP CONSTRUCTION TURNKEY","Cork City","Ballinlough Road / Knockrea Lawn, Ballinlough, Cork",6,"*N/A","","","","","","Q2-2019"
165,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork",10,"*N/A","","","","","","Q4-2019"
166,"SHIP CONSTRUCTION TURNKEY","Cork City","Gearney's Boreen, Commons Road, Cork",3,"*N/A","","","","","","Q4-2019"
167,"SHIP CONSTRUCTION TURNKEY","Cork City","Ard na Ri, Banduff Road, Cork (Phase 2)",10,"*N/A","","","","","","Q4-2019"
168,"SHIP CONSTRUCTION TURNKEY","Cork City","Eagle Valley, Sarsfield Road",1,"*N/A","","","","","","Q4-2019"
169,"SHIP CONSTRUCTION TURNKEY","Cork City","Knockfree Avenue, Glengarriff Road, Fairhill, Cork",2,"*N/A","","","","","","Q4-2019"
170,"SHIP CONSTRUCTION TURNKEY","Cork City","3-10 Herbert Lawn, Belmont, Rochestown, Cork",8,"*N/A","","","","","","Q4-2019"
171,"SHIP CONSTRUCTION TURNKEY","Cork City","Elton Wood & Herbert Lawn, Rochestown, Cork ",8,"*N/A","","","","","","Q4-2019"
172,"SHIP CONSTRUCTION TURNKEY","Cork City","Aspen Drive, Maryborough Hill, Cork ",29,"*N/A","","","","","","Q4-2019"
173,"SHIP CONSTRUCTION TURNKEY","Cork City","5 Fairfield Heights, Upper Fairhill, Cork ",3,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
174,"SHIP CONSTRUCTION TURNKEY","Cork City","20 & 22, Ringcroft Avenue, Ringmahon Road, Mahon, Cork",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
175,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Clare","Shannon East",51,"*N/A","","","","","Q4-2019",""
176,"SHIP CONSTRUCTION","Cork City","Poulavone, Ballincollig",57,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
177,"SHIP CONSTRUCTION","Cork City","The Meadows, Knocknacullen",1,"*N/A","","","","","","Q3-2016"
178,"SHIP CONSTRUCTION","Cork City","Boyces Street",51,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
179,"SHIP CONSTRUCTION","Cork City","Shandon Street/John Philpott Curran Street",9,"*N/A","","","","","Q4-2019",""
180,"SHIP CONSTRUCTION","Cork City","St. Johns Well",6,"*N/A","","","","","","Q4-2019"
181,"SHIP CONSTRUCTION","Cork City","Churchfield Place East",3,"*N/A","","","","","","Q4-2018"
182,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 1)",8,"*N/A","","","","","","Q4-2018"
183,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Street",43,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
184,"SHIP CONSTRUCTION","Cork City","Cappanoole",2,"*N/A","","","","","","Q4-2016"
185,"SHIP CONSTRUCTION","Cork City","Madonna House, Ballincollig (Phase 2)",6,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
186,"SHIP CONSTRUCTION","Cork City","Bramble Cottages",5,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
187,"SHIP CONSTRUCTION","Cork City","Errigal Heights, The Glen, Cork City",32,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
188,"SHIP CONSTRUCTION","Cork City","Glenamoy Lawn, Mayfield, Cork",3,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
189,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 2)",7,"*N/A","","","","","","Q1-2019"
190,"SHIP CONSTRUCTION","Cork City","Hollywood Estate Infill Housing, Blarney Road, Cork",7,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
191,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 3)",50,"*N/A","","","","","","Q3-2019"
192,"SHIP CONSTRUCTION","Cork City","Clover Hill Court, Bessboro Road, Mahon, Cork",51,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
193,"SHIP CONSTRUCTION","Cork City","Westside, Model Farm Road, Cork",32,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
