"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
2,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",6,"*N/A","","","","","","Q3-2019"
3,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",12,"*N/A","","","","","","Q3-2020"
4,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",10,"*N/A","","","","","","Q4-2020"
5,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",10,"*N/A","","","","","Q4-2017",""
6,"SHIP CONSTRUCTION TURNKEY","Carlow","Carrigbrook, Tullow Road, Carlow",19,"*N/A","","","","","Q4-2017",""
7,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Father Flood Avenue, Rathvilly",8,"*N/A","","","","","","Q4-2019"
8,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Oliver's Crescent, Myshall",4,"*N/A","","","","","","Q4-2019"
9,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","St. Mary's Court & Dereen Heights, Tullow",6,"*N/A","","","","","","Q4-2020"
10,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Crowsgrove, Kildavin",1,"*N/A","","","","","","Q1-2020"
11,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Ardattin",6,"*N/A","","","","","Q1-2020",""
12,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Brownbog, Hackettstown",1,"*N/A","","","","","Q1-2020",""
13,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Spahill, Borris",1,"*N/A","","","","","","Q4-2020"
14,"SHIP CONSTRUCTION SINGLE STAGE","Carlow","Rural Ballypierce, Kildavin",1,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
15,"SHIP CONSTRUCTION","Carlow","The Laurels, Carlow Town",5,"*N/A","","","","","","Q2-2018"
16,"SHIP CONSTRUCTION","Carlow","Ard na Greine, Tullow",16,"*N/A","","","","","","Q4-2018"
17,"SHIP CONSTRUCTION","Carlow","Dublin Road, Tullow",21,"*N/A","","","","","","Q3-2019"
18,"SHIP CONSTRUCTION","Carlow","Bagenalstown",20,"*N/A","","","","","","Q3-2020"
19,"SHIP CONSTRUCTION","Carlow","Bilboa",2,"*N/A","","","","","","Q3-2018"
20,"SHIP CONSTRUCTION","Carlow","Slate Row, Hacketstown",4,"*N/A","","","","","","Q4-2018"
21,"SHIP CONSTRUCTION","Carlow","Mount Leinster Park, Carlow",4,"*N/A","","","","","","Q4-2017"
22,"SHIP CONSTRUCTION","Carlow","Myshall",4,"*N/A","","","","","","Q1-2018"
23,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris",4,"*N/A","","","","","","Q3-2017"
24,"SHIP CONSTRUCTION","Carlow","Rathvilly",10,"*N/A","","","","","","Q2-2017"
25,"SHIP CONSTRUCTION","Carlow","Moneybeg, Bagenalstown",24,"*N/A","","","","","","Q3-2017"
26,"SHIP CONSTRUCTION","Carlow","Paulville, Tullow (SRD)",1,"*N/A","","","","","","Q3-2017"
27,"SHIP CONSTRUCTION","Carlow","Maryborough St., Carlow",5,"*N/A","","","","","","Q1-2018"
28,"SHIP CONSTRUCTION","Carlow","Drumin, St. Mullins (SRD)",1,"*N/A","","","","","","Q1-2019"
29,"SHIP CONSTRUCTION","Carlow","Bagenalstown Phase 2",22,"*N/A","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
30,"SHIP CONSTRUCTION","Carlow","Pound Lane, Borris, Co. Carlow",9,"*N/A","","","","","Q3-2020",""
31,"SHIP CONSTRUCTION","Carlow","Barrack Street, carlow",7,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
32,"CAS CONSTRUCTION TURNKEY","Carlow","Pollerton Big, Carlow",6,"Tintean Housing Association Ltd","","","","","","Q4-2020"
33,"CAS CONSTRUCTION","Carlow","Gleann na Bearu, Royal Oak Road, Bagenalstown",6,"Respond","","","","","Q4-2020",""
34,"CAS CONSTRUCTION","Carlow","Ballincarrig, Wexford Road",6,"Tintean Housing Association Ltd","","","","","","Q4-2016"
35,"CAS CONSTRUCTION","Carlow","Homefield, Blackbog Road, Carlow",3,"Carlow Voluntary Housing Association","","","","","Q4-2020",""
36,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
37,"CALF Turnkey","Carlow","7 units, Rivercourt, Carlow (Phase 2)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
38,"CALF Turnkey","Carlow","Ballickmoyler, Graigcullen, Carlow (Phase 1)",15,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
