"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
194,"SHIP CONSTRUCTION","Cork City","Errigal Heights, The Glen, Cork City",32,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
195,"SHIP CONSTRUCTION","Cork City","Glenamoy Lawn, Mayfield, Cork",3,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
196,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 2)",7,"*N/A","","","","","","Q1-2019"
197,"SHIP CONSTRUCTION","Cork City","Hollywood Estate Infill Housing, Blarney Road, Cork",7,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
198,"SHIP CONSTRUCTION","Cork City","Deanrock, Togher (Phase 3)",50,"*N/A","","","","","","Q3-2019"
199,"SHIP CONSTRUCTION","Cork City","Clover Hill Court, Bessboro Road, Mahon, Cork",51,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
200,"SHIP CONSTRUCTION","Cork City","Westside, Model Farm Road, Cork",32,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
201,"SHIP CONSTRUCTION","Cork City","Gerald Griffin Apartments - Block 7, North Monastery Road / St. Vincent's Road, Cork",6,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
202,"SHIP CONSTRUCTION","Cork City","Sli Gartan, Mayfield, Cork ",1,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
203,"REGENERATION","Cork City","Phase 1 B Knocknaheeny",29,"*N/A","","","","","","Q4-2017"
204,"REGENERATION","Cork City","Phase 2 A Knocknaheeny",47,"*N/A","","","","","","Q4-2019"
205,"REGENERATION","Cork City","Phase 1 C Knocknaheeny",41,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
206,"REGENERATION","Cork City","Phase 2 B Knocknaheeny",38,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
207,"REGENERATION","Cork City","Phase 2 C Knocknaheeny",24,"*N/A","","","","","Q4-2019",""
208,"REGENERATION","Cork City","Foyle Avenue Infill Housing Development, Foyle Avenue, Knocknaheeny, Cork",2,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
209,"REGENERATION","Cork City","Ardmore Avenue, Knocknaheeny, Cork",1,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
210,"REGENERATION","Cork City","Phase 3 B Knocknaheeny",62,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
211,"REGENERATION","Cork City","Phase 4A",43,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
212,"CAS CONSTRUCTION","Cork City","Edel House, Grattan Street",37,"Good Shepherd Services Ltd","","","","","Q2-2019",""
213,"CAS CONSTRUCTION","Cork City","Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",20,"Respond","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
214,"CAS CONSTRUCTION","Cork City","Thomas Davis Street (Phase 1)",28,"Respond","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
215,"CAS CONSTRUCTION","Cork City","Ceanncora Lawn, Ballinlough",1,"Cork Mental Health Voluntary Housing Association Ltd","","","","","","Q3-2018"
216,"CAS CONSTRUCTION","Cork City","St. Joachim & Anne's, Anglesea Street",8,"Simon Community : Cork Simon","","","","","Q3-2019",""
217,"CAS CONSTRUCTION","Cork City","27-29 Dublin Street, Blackpool",10,"Respond","","","","","","Q3-2018"
218,"CAS CONSTRUCTION","Cork City","Ard na Ri, Closes Green, Farranree, Cork",20,"Farranree Sheltered Housing Association","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
219,"CALF TURNKEY","Cork City","5 units, Shandon Street, Cork (Phase 1)",5,"Circle Voluntary Housing Association Ltd","","","","","","Q3-2019"
220,"CALF TURNKEY","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 1)*",37,"T�ath Housing Association","","","","","","Q4-2019"
221,"CALF TURNKEY","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 2)*",39,"T�ath Housing Association","","","","","Q3-2019",""
222,"CALF TURNKEY","Cork City","Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 3)",10,"T�ath Housing Association","","","","","Q3-2019",""
223,"CALF TURNKEY","Cork City","Convent Gardens, Blackrock Villas, Blackrock, Co. Cork (Phase 1)",1,"T�ath Housing Association","","","","","","Q4-2019"
224,"CALF TURNKEY","Cork City","Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 1)",4,"T�ath Housing Association","","","","","Q4-2019",""
225,"CALF TURNKEY","Cork City","Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 2)",2,"T�ath Housing Association","","","","","Q4-2019",""
226,"CALF TURNKEY","Cork City","Croppy Boy, Fairhill, Cork (Phase 1)",7,"T�ath Housing Association","","","","","","Q3-2020"
227,"CALF TURNKEY","Cork City","Croppy Boy, Fairhill, Cork (Phase 2)*",14,"T�ath Housing Association","","","","","Q3-2019",""
228,"CALF CONSTRUCTION","Cork City","Green Lane, Blackpool, Cork City (Phase 1)",112,"Cluid Housing","","","","Q2-2019","",""
229,"CALF TURNKEY","Cork City","Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,"Respond","","","","","Q1-2020",""
230,"CALF TURNKEY","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,"Cluid Housing","","","","","","Q4-2018"
231,"CALF TURNKEY","Cork City","Leeside Apartments, Bachelors Quay, Cork City (Phase 2)",6,"Cluid Housing","","","","","","Q3-2019"
232,"CALF TURNKEY","Cork City","Lios Cara, Rathpeacon, Killeens, Cork (Phase 1)",12,"Cluid Housing","","","","Q4-2019","",""
233,"CALF CONSTRUCTION","Cork City","Lower Glanmire Road, Cork City (Phase 1)",8,"Galtan Ltd","","","","","","Q4-2019"
234,"CALF CONSTRUCTION","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,"Galtan Ltd","","","","","","Q1-2018"
235,"CALF CONSTRUCTION","Cork City","Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,"Galtan Ltd","","","","","","Q4-2018"
236,"CALF TURNKEY","Cork City","Maryborough Ridge & Blackrock  Villas\n (Phase 1)*",57,"T�ath Housing Association","","","","","","Q4-2019"
237,"CALF TURNKEY","Cork City","Millerd Street, Cork (Phase 1)",25,"Respond","","","","","Q1-2019",""
238,"CALF TURNKEY","Cork City","North Abbey Street, Cork City  (Phase 1)",6,"Respond","","","","","","Q4-2018"
239,"CALF TURNKEY","Cork City","Redforge Road, Blackpool, Cork City (Phase 1)*",80,"Respond","","","","","Q1-2020",""
240,"CALF TURNKEY","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,"T�ath Housing Association","","","","","","Q4-2018"
241,"CALF TURNKEY","Cork City","Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,"T�ath Housing Association","","","","","","Q4-2019"
242,"CALF TURNKEY","Cork City","Springville House, Bulls Lane, Blackrock Road, Cork (Phase 1)",35,"T�ath Housing Association","","","","Q2-2020","",""
243,"CALF TURNKEY","Cork City","The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,"T�ath Housing Association","","","","","","Q4-2019"
244,"CALF TURNKEY","Cork City"," Tower Street, Cork City (Phase 1)",2,"Threshold Ltd","","","","Q4-2020","",""
245,"CALF TURNKEY","Cork City","Woodside, Kerry Pike, Cork (Phase 1)*",12,"Cluid Housing","","","","","Q4-2019",""
246,"CALF TURNKEY","Cork City","Woodside, Kerry Pike, Cork (Phase 2)*",10,"Cluid Housing","","","","","Q4-2019",""
247,"SHIP CONSTRUCTION TURNKEY","Cork County","Church Road/Station Road, Carrigtwohill",18,"*N/A","","","","","","Q2-2018"
248,"SHIP CONSTRUCTION TURNKEY","Cork County","Inis Alainn & Castleoaks, Bandon",11,"*N/A","","","","","","Q4-2017"
249,"SHIP CONSTRUCTION TURNKEY","Cork County","Gleann Tuairigh, Youghal",3,"*N/A","","","","","","Q4-2018"
250,"SHIP CONSTRUCTION TURNKEY","Cork County","Millview Road, Kanturk",11,"*N/A","","","","","","Q4-2019"
251,"SHIP CONSTRUCTION TURNKEY","Cork County","Clondulane, Fermoy",2,"*N/A","","","","","","Q4-2017"
252,"SHIP CONSTRUCTION TURNKEY","Cork County","College Wood, Cobh",31,"*N/A","","","","","","Q4-2017"
253,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas",12,"*N/A","","","","","","Q4-2017"
254,"SHIP CONSTRUCTION TURNKEY","Cork County","Crann Ard, Fermoy",4,"*N/A","","","","","","Q4-2019"
255,"SHIP CONSTRUCTION TURNKEY","Cork County","CulAird Carraigtwohill",29,"*N/A","","","","","","Q4-2017"
256,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas",12,"*N/A","","","","","","Q1-2017"
257,"SHIP CONSTRUCTION TURNKEY","Cork County","Castletreasure, Douglas",16,"*N/A","","","","","","Q1-2017"
258,"SHIP CONSTRUCTION TURNKEY","Cork County","Claragh Road, Millstreet",5,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
259,"SHIP CONSTRUCTION TURNKEY","Cork County","St. Mary�s Road, Dunmanway Phase 2",7,"*N/A","","","","","","Q3-2020"
260,"SHIP CONSTRUCTION TURNKEY","Cork County","Glanworth, Fermoy",10,"*N/A","","","","","Q1-2020",""
261,"SHIP CONSTRUCTION TURNKEY","Cork County","Quartertown, Mallow",5,"*N/A","","","","","","Q4-2019"
262,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow",8,"*N/A","","","","","","Q4-2019"
263,"SHIP CONSTRUCTION TURNKEY","Cork County","Beacon Point, Baltimore",6,"*N/A","","","","","","Q2-2019"
264,"SHIP CONSTRUCTION TURNKEY","Cork County","Corrin View, Fermoy",6,"*N/A","","","","","","Q2-2019"
265,"SHIP CONSTRUCTION TURNKEY","Cork County","No. 43 & No. 50 Chapel Court, Skibbereen ",2,"*N/A","","","","","","Q3-2018"
266,"SHIP CONSTRUCTION TURNKEY","Cork County","Cul Na Smear, Bandon",14,"*N/A","","","","","","Q4-2018"
267,"SHIP CONSTRUCTION TURNKEY","Cork County","Glen Dara, Ard Cashel, Watergrasshill",6,"*N/A","","","","","","Q4-2018"
268,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas",9,"*N/A","","","","","","Q2-2019"
269,"SHIP CONSTRUCTION TURNKEY","Cork County","Sweetfields, Youghal",15,"*N/A","","","","","Q1-2019",""
270,"SHIP CONSTRUCTION TURNKEY","Cork County","Lismire",4,"*N/A","","","","","","Q4-2018"
271,"SHIP CONSTRUCTION TURNKEY","Cork County","Rylane, Mount Rivers, Co. Cork.",3,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
272,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas Phase 3",21,"*N/A","","","","","Q1-2019",""
273,"SHIP CONSTRUCTION TURNKEY","Cork County","Seafield, Bantry, ",3,"*N/A","","","","","Q3-2018",""
274,"SHIP CONSTRUCTION TURNKEY","Cork County","Parklands, Youghal",13,"*N/A","","","","","","Q4-2018"
275,"SHIP CONSTRUCTION TURNKEY","Cork County","Oliver Plunkett Place, Doneraile",2,"*N/A","","","","","","Q4-2019"
276,"SHIP CONSTRUCTION TURNKEY","Cork County","No.9 and No.10  Chapel Court, Skibbereen,",2,"*N/A","","","","","","Q4-2018"
277,"SHIP CONSTRUCTION TURNKEY","Cork County","Tir Cluain, Midleton",8,"*N/A","","","","","","Q4-2018"
278,"SHIP CONSTRUCTION TURNKEY","Cork County","College Mews, Cobh",6,"*N/A","","","","","","Q4-2018"
279,"SHIP CONSTRUCTION TURNKEY","Cork County","Rathcormac",4,"*N/A","","","","","","Q4-2018"
280,"SHIP CONSTRUCTION TURNKEY","Cork County","Fairgreen, Mallow",10,"*N/A","","","","","","Q4-2019"
281,"SHIP CONSTRUCTION TURNKEY","Cork County","Tir Cluain, Midleton (Phase 2)",14,"*N/A","","","","","","Q3-2019"
282,"SHIP CONSTRUCTION TURNKEY","Cork County","Church Road/Station Road, Carrigtwohill (2)",7,"*N/A","","","","","","Q3-2018"
283,"SHIP CONSTRUCTION TURNKEY","Cork County","Percival St, Kanturk",2,"*N/A","","","","","","Q4-2018"
284,"SHIP CONSTRUCTION TURNKEY","Cork County","9 & 9a Main Street, Boherbue",2,"*N/A","","","","","","Q4-2018"
285,"SHIP CONSTRUCTION TURNKEY","Cork County","Parklands, Youghal - Phase 2",6,"*N/A","","","","","","Q2-2019"
286,"SHIP CONSTRUCTION TURNKEY","Cork County","Rathcormac Phase 2",4,"*N/A","","","","","","Q2-2019"
287,"SHIP CONSTRUCTION TURNKEY","Cork County","Inis F�il, Curraclough, Bandon",13,"*N/A","","","","","","Q4-2019"
288,"SHIP CONSTRUCTION TURNKEY","Cork County","Maple Woods, Midleton",6,"*N/A","","","","","","Q4-2018"
289,"SHIP CONSTRUCTION TURNKEY","Cork County","Crann Ard, Fermoy - Phase 3",8,"*N/A","","","","","Q4-2017",""
290,"SHIP CONSTRUCTION TURNKEY","Cork County","St. Mary's Road, Dunmanway Phase 3",6,"*N/A","","","","","","Q3-2020"
291,"SHIP CONSTRUCTION TURNKEY","Cork County","Sweetfields, Youghal, Phase 2",20,"*N/A","","","","","Q1-2019",""
292,"SHIP CONSTRUCTION TURNKEY","Cork County","Copper Point, Schull, Co. Cork",7,"*N/A","","","","","Q2-2019",""
293,"SHIP CONSTRUCTION TURNKEY","Cork County","Mill Road, Avoncore, Bloomfield, Midleton",10,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
294,"SHIP CONSTRUCTION TURNKEY","Cork County","Mill Road, Avoncore,  Broomfield, Midleton - Phase 2",8,"*N/A","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
295,"SHIP CONSTRUCTION TURNKEY","Cork County","Mill Road, Avoncore,  Bloomfield, Midleton - Phase 3",22,"*N/A","","","","Stage 4 approved Q1-2019, the scheme is fully approved.","",""
296,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Cairn, Station Road, Carrigtwohill",2,"*N/A","","","","","","Q3-2019"
297,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow ",6,"*N/A","","","","","","Q2-2020"
298,"SHIP CONSTRUCTION TURNKEY","Cork County","Gleann Orga, Ballinhassig",4,"*N/A","","","","","","Q4-2019"
299,"SHIP CONSTRUCTION TURNKEY","Cork County","Lios Ard Ballyhooly",8,"*N/A","","","","","Q1-2020",""
300,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Ard, Cobh",6,"*N/A","","","","","","Q3-2019"
301,"SHIP CONSTRUCTION TURNKEY","Cork County","Baltimore, West Cork",12,"*N/A","","","","","","Q4-2019"
302,"SHIP CONSTRUCTION TURNKEY","Cork County","Chapel Court, Skibbereen",2,"*N/A","","","","","","Q4-2019"
303,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Ard, Freemount",4,"*N/A","","","","","","Q4-2019"
304,"SHIP CONSTRUCTION TURNKEY","Cork County","Glengarriff",5,"*N/A","","","","","","Q4-2019"
305,"SHIP CONSTRUCTION TURNKEY","Cork County","The Cove, Glandore",4,"*N/A","","","","","","Q4-2019"
306,"SHIP CONSTRUCTION TURNKEY","Cork County","Copper Point, Schull, Co. Cork",7,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
307,"SHIP CONSTRUCTION TURNKEY","Cork County","An Tui, Lisgoold, Leamlara",3,"*N/A","","","","","","Q4-2019"
308,"SHIP CONSTRUCTION TURNKEY","Cork County","Millstreet Road, Macroom",12,"*N/A","","","","","Q1-2020",""
309,"SHIP CONSTRUCTION TURNKEY","Cork County","Clarendon Brooks, Carrs Hill, Douglas Phase 2",14,"*N/A","","","","","","Q4-2019"
310,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Cairn, Station Road, Carrigtwohill",12,"*N/A","","","","","Q2-2019",""
311,"SHIP CONSTRUCTION TURNKEY","Cork County","Glenbeg The Beeches, Boherbue",4,"*N/A","","","","","","Q4-2019"
312,"SHIP CONSTRUCTION TURNKEY","Cork County","Chapel Court, Skibbereen",3,"*N/A","","","","","","Q4-2019"
313,"SHIP CONSTRUCTION TURNKEY","Cork County","Millview Road, Kanturk - Phase 3",4,"*N/A","","","","","Q3-2018",""
314,"SHIP CONSTRUCTION TURNKEY","Cork County","An Tui, Lisgoold, Leamlara",1,"*N/A","","","","","","Q2-2020"
315,"SHIP CONSTRUCTION TURNKEY","Cork County","Bruhenny, Churchtown",6,"*N/A","","","","","","Q4-2019"
316,"SHIP CONSTRUCTION TURNKEY","Cork County","Ard Bhaile, Buttevant, Co. Cork",6,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
317,"SHIP CONSTRUCTION TURNKEY","Cork County","Cecilstown, Mallow, Co. Cork",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
318,"SHIP CONSTRUCTION TURNKEY","Cork County","Ballymacmoy, Killavullen, Co. Cork",13,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
319,"SHIP CONSTRUCTION TURNKEY","Cork County","Meenane, Watergrasshill, Co. Cork ",25,"*N/A","","","","","Q3-2020",""
320,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow",8,"*N/A","","","","","","Q3-2019"
321,"SHIP CONSTRUCTION TURNKEY","Cork County","Gortnaclohy, Skibbereen, Co. Cork",34,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
322,"SHIP CONSTRUCTION TURNKEY","Cork County","Castle Heights, Carrigaline",3,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
323,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Cairn, Station Road, Carrigtwohill",7,"*N/A","","","","","","Q4-2019"
324,"SHIP CONSTRUCTION TURNKEY","Cork County","The Court, Ard Cashel, Watergrasshill",4,"*N/A","","","","","","Q4-2019"
325,"SHIP CONSTRUCTION TURNKEY","Cork County","Millview Road, Kanturk - Phase 2",10,"*N/A","","","","","Q3-2018",""
326,"SHIP CONSTRUCTION TURNKEY","Cork County","Glenbeg, The Beeches, Boherbue",8,"*N/A","","","","","Q1-2019",""
327,"SHIP CONSTRUCTION TURNKEY","Cork County","Oliver Plunkett Place, Doneraile",3,"*N/A","","","","","Q3-2018",""
328,"SHIP CONSTRUCTION TURNKEY","Cork County","Crann Ard, Fermoy - Phase 2",40,"*N/A","","","","","Q4-2017",""
329,"SHIP CONSTRUCTION TURNKEY","Cork County","Inis F�il, Curraclough, Bandon",17,"*N/A","","","","","","Q3-2020"
330,"SHIP CONSTRUCTION TURNKEY","Cork County","Caherdaniel, Bantry, Co. Cork",10,"*N/A","","","","","Q1-2020",""
331,"SHIP CONSTRUCTION TURNKEY","Cork County","St. Mary�s Road, Dunmanway ",7,"*N/A","","","","","","Q4-2019"
332,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Cairn, Station Road Carrigtwohill",7,"*N/A","","","","","Q2-2019",""
333,"SHIP CONSTRUCTION TURNKEY","Cork County","An Goritin Rua, Millstreet Road, Macroom, Co. Cork",14,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
334,"SHIP CONSTRUCTION TURNKEY","Cork County","King St, Mitchelstown, Co. Cork",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
335,"SHIP CONSTRUCTION TURNKEY","Cork County","Lyraneag, Rockchapel, Co. Cork",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
336,"SHIP CONSTRUCTION TURNKEY","Cork County","Cluain Reidh, Ballyvourney",1,"*N/A","","","","","","Q4-2019"
337,"SHIP CONSTRUCTION TURNKEY","Cork County","Curragh, Upper Aghada, Co. Cork",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
338,"SHIP CONSTRUCTION TURNKEY","Cork County","Glebe Manor, Whitegate",12,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
339,"SHIP CONSTRUCTION TURNKEY","Cork County","Eyeries, Castletownbere, Co. Cork",6,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
340,"SHIP CONSTRUCTION TURNKEY","Cork County","Kilmorna, Mallow, Co. Cork",1,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
341,"SHIP CONSTRUCTION TURNKEY","Cork County","Lios Ard Ballhooly",12,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
342,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow ",20,"*N/A","","","","","Q1-2019",""
343,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter, Mallow ",18,"*N/A","","","","","Q1-2019",""
344,"SHIP CONSTRUCTION TURNKEY","Cork County","Fana Na gCann, Co. Cork",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
345,"SHIP CONSTRUCTION TURNKEY","Cork County","Drakes Point, Knocknagore, Crosshaven, Co. Cork",5,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
346,"SHIP CONSTRUCTION TURNKEY","Cork County","Scarteen, Newmarket, Co. Cork",11,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
347,"SHIP CONSTRUCTION TURNKEY","Cork County","Abbeyfort, Kinsale, Co. Cork",16,"*N/A","","","","","Q4-2019",""
348,"SHIP CONSTRUCTION TURNKEY","Cork County","Caherdaniel, Bantry, Co. Cork",6,"*N/A","","","","","Q1-2020",""
349,"SHIP CONSTRUCTION TURNKEY","Cork County","Caherdaniel, Bantry, Co. Cork",18,"*N/A","","","","","Q1-2020",""
350,"SHIP CONSTRUCTION TURNKEY","Cork County","Abbeyfort, Kinsale, Co. Cork",17,"*N/A","","","","","Q4-2019",""
351,"SHIP CONSTRUCTION TURNKEY","Cork County","Oliver Plunkett Place, Doneraile",1,"*N/A","","","","","","Q3-2020"
352,"SHIP CONSTRUCTION TURNKEY","Cork County","Spa Glen,Ballyviniter,Mallow",8,"*N/A","","","","","","Q3-2020"
